"시점",전국
"시점",외식
"2011.07",84.882
"2011.08",85.125
"2011.09",85.287
"2011.10",85.287
"2011.11",85.125
"2011.12",85.287
"2012.01",85.450
"2012.02",85.547
"2012.03",84.963
"2012.04",85.028
"2012.05",85.182
"2012.06",85.279
"2012.07",85.344
"2012.08",85.441
"2012.09",85.571
"2012.10",85.628
"2012.11",85.652
"2012.12",85.733
"2013.01",86.049
"2013.02",86.292
"2013.03",86.308
"2013.04",86.527
"2013.05",86.673
"2013.06",86.778
"2013.07",86.794
"2013.08",86.875
"2013.09",86.973
"2013.10",87.045
"2013.11",87.070
"2013.12",87.126
"2014.01",87.297
"2014.02",87.564
"2014.03",87.515
"2014.04",87.637
"2014.05",87.758
"2014.06",87.831
"2014.07",87.993
"2014.08",88.090
"2014.09",88.333
"2014.10",88.398
"2014.11",88.511
"2014.12",88.568
"2015.01",88.818
"2015.02",88.989
"2015.03",89.565
"2015.04",89.745
"2015.05",89.817
"2015.06",89.979
"2015.07",90.105
"2015.08",90.231
"2015.09",90.510
"2015.10",90.627
"2015.11",90.771
"2015.12",91.005
"2016.01",91.329
"2016.02",91.572
"2016.03",91.869
"2016.04",92.094
"2016.05",92.202
"2016.06",92.292
"2016.07",92.436
"2016.08",92.526
"2016.09",92.689
"2016.10",92.770
"2016.11",92.851
"2016.12",92.995
"2017.01",93.418
"2017.02",93.715
"2017.03",94.003
"2017.04",94.138
"2017.05",94.408
"2017.06",94.480
"2017.07",94.633
"2017.08",94.804
"2017.09",94.930
"2017.10",95.083
"2017.11",95.245
"2017.12",95.506
"2018.01",95.938
"2018.02",96.316
"2018.03",96.712
"2018.04",97.072
"2018.05",97.378
"2018.06",97.486
"2018.07",97.657
"2018.08",97.774
"2018.09",97.828
"2018.10",98.035
"2018.11",98.251
"2018.12",98.476
"2019.01",98.891
"2019.02",99.071
"2019.03",98.891
"2019.04",99.062
"2019.05",99.197
"2019.06",99.314
"2019.07",99.377
"2019.08",99.449
"2019.09",99.179
"2019.10",99.359
"2019.11",99.395
"2019.12",99.485
"2020.01",99.63
"2020.02",99.67
"2020.03",99.62
"2020.04",99.69
"2020.05",99.84
"2020.06",99.95
"2020.07",99.98
"2020.08",100.02
"2020.09",100.26
"2020.10",100.47
"2020.11",100.34
"2020.12",100.54
"2021.01",100.90
"2021.02",101.16
"2021.03",101.64
"2021.04",102.12
"2021.05",102.26
"2021.06",102.50
"2021.07",102.78
"2021.08",103.09
"2021.09",103.51
"2021.10",103.91
"2021.11",104.48
"2021.12",105.38
"2022.01",106.40
"2022.02",107.39
"2022.03",108.34
"2022.04",108.85
"2022.05",109.81
"2022.06",110.67
"2022.07",111.39
"2022.08",112.20
"2022.09",112.80
"2022.10",113.16
"2022.11",113.48
"2022.12",114.03
"2023.01",114.62
